emoji,en,clean_en,zh-TW,zh
🙋🏻,:person_raising_hand_light_skin_tone:,person raising hand light skin tone,舉手的人淺膚色,:举手_较浅肤色:
🙋🏼,:person_raising_hand_medium-light_skin_tone:,person raising hand medium-light skin tone,舉手的人中淺膚色,:举手_中等浅肤色:
🏃,:person_running:,person running,跑步的人,:跑步者:
🏃🏻,:person_running_light_skin_tone:,person running light skin tone,跑步的人淺膚色,:跑步者_较浅肤色:
🤷,:person_shrugging:,person shrugging,聳肩的人,:耸肩:
🤷🏻,:person_shrugging_light_skin_tone:,person shrugging light skin tone,聳肩的人淺膚色,:耸肩_较浅肤色:
🏄,:person_surfing:,person surfing,衝浪的人,:冲浪:
🏊,:person_swimming:,person swimming,游泳的人,:游泳:
🛀,:person_taking_bath:,person taking bath,洗澡的人,:洗澡的人:
🛀🏾,:person_taking_bath_medium-dark_skin_tone:,person taking bath medium-dark skin tone,正在洗澡的人-中深膚色,:洗澡的人_中等深肤色:
💁,:person_tipping_hand:,person tipping hand,人傾斜的手,:前台:
🚶🏻,:person_walking_light_skin_tone:,person walking light skin tone,走路的人淺膚色,:行人_较浅肤色:
👰🏻,:person_with_veil_light_skin_tone:,person with veil light skin tone,面紗淺膚色的人,:戴头纱的人_较浅肤色:
🐖,:pig:,pig,豬,:猪:
🐷,:pig_face:,pig face,豬臉,:猪头:
🐽,:pig_nose:,pig nose,豬鼻子,:猪鼻子:
💩,:pile_of_poo:,pile of poo,一堆便便,:大便:
💊,:pill:,pill,丸,:药丸:
🤏,:pinching_hand:,pinching hand,捏手,:捏合的手势:
🤏🏻,:pinching_hand_light_skin_tone:,pinching hand light skin tone,捏手淺膚色,:捏合的手势_较浅肤色:
🍍,:pineapple:,pineapple,菠蘿,:菠萝:
🏓,:ping_pong:,ping pong,乒乓,:乒乓球:
🏴‍☠️,:pirate_flag:,pirate flag,海盜旗,:海盗旗:
🍕,:pizza:,pizza,比薩,:披萨:
🪧,:placard:,placard,標語牌,:标语牌:
▶️,:play_button:,play button,播放按鈕,:播放按钮:
🥺,:pleading_face:,pleading face,懇求的臉,:恳求的脸:
➕,:plus:,plus,加,:加:
🐻‍❄️,:polar_bear:,polar bear,北極熊,:北极熊:
🚨,:police_car_light:,police car light,警車燈,:警车灯:
👮,:police_officer:,police officer,警官,:警察:
🐩,:poodle:,poodle,貴賓犬,:贵宾犬:
🎱,:pool_8_ball:,pool 8 ball,池 8 球,:台球:
🍿,:popcorn:,popcorn,爆米花,:爆米花:
📮,:postbox:,postbox,郵箱,:邮筒:
🍲,:pot_of_food:,pot of food,一鍋食物,:一锅食物:
🥔,:potato:,potato,土豆,:土豆:
🪴,:potted_plant:,potted plant,盆栽,:盆栽植物:
🍗,:poultry_leg:,poultry leg,家禽腿,:家禽的腿:
😾,:pouting_cat:,pouting cat,噘嘴的貓,:生气的猫:
🤰,:pregnant_woman:,pregnant woman,懷孕的女人,:孕妇:
🤰🏻,:pregnant_woman_light_skin_tone:,pregnant woman light skin tone,孕婦淺膚色,:孕妇_较浅肤色:
🤴,:prince:,prince,王子,:王子:
🤴🏻,:prince_light_skin_tone:,prince light skin tone,王子淺膚色,:王子_较浅肤色:
👸,:princess:,princess,公主,:公主:
👸🏻,:princess_light_skin_tone:,princess light skin tone,公主淺膚色,:公主_较浅肤色:
👸🏼,:princess_medium-light_skin_tone:,princess medium-light skin tone,公主中淺膚色,:公主_中等浅肤色:
🚫,:prohibited:,prohibited,禁止的,:禁止:
🟣,:purple_circle:,purple circle,紫色圓圈,:紫色圆:
💜,:purple_heart:,purple heart,紫心,:紫心:
👛,:purse:,purse,錢包,:钱包:
📌,:pushpin:,pushpin,圖釘,:图钉:
🧩,:puzzle_piece:,puzzle piece,一塊拼圖,:拼图:
🐇,:rabbit:,rabbit,兔子,:兔子:
🐰,:rabbit_face:,rabbit face,兔臉,:兔子头:
🏎️,:racing_car:,racing car,賽車,:赛车:
🔘,:radio_button:,radio button,單選按鈕,:单选按钮:
🚃,:railway_car:,railway car,火車車廂,:轨道车:
🌈,:rainbow:,rainbow,彩虹,:彩虹:
✊,:raised_fist:,raised fist,舉起拳頭,:举起拳头:
✊🏻,:raised_fist_light_skin_tone:,raised fist light skin tone,舉起拳頭淺膚色,:举起拳头_较浅肤色:
✋,:raised_hand:,raised hand,舉手,:举起手:
✋🏻,:raised_hand_light_skin_tone:,raised hand light skin tone,舉手淺膚色,:举起手_较浅肤色:
🙌,:raising_hands:,raising hands,舉手,:举双手:
🙌🏿,:raising_hands_dark_skin_tone:,raising hands dark skin tone,舉手 深色膚色,:举双手_较深肤色:
🙌🏻,:raising_hands_light_skin_tone:,raising hands light skin tone,舉手 淺膚色,:举双手_较浅肤色:
🙌🏾,:raising_hands_medium-dark_skin_tone:,raising hands medium-dark skin tone,舉手-中等-深膚色,:举双手_中等深肤色:
🙌🏼,:raising_hands_medium-light_skin_tone:,raising hands medium-light skin tone,舉手 中淺膚色,:举双手_中等浅肤色:
🐏,:ram:,ram,內存,:公羊:
🧾,:receipt:,receipt,收據,:收据:
♻️,:recycling_symbol:,recycling symbol,回收符號,:回收标志:
🍎,:red_apple:,red apple,紅蘋果,:红苹果:
🔴,:red_circle:,red circle,紅圈,:红色圆:
🧧,:red_envelope:,red envelope,紅信封,:红包:
❗,:red_exclamation_mark:,red exclamation mark,紅色感嘆號,:红色感叹号:
❤️,:red_heart:,red heart,紅心,:红心:
❤,:red_heart:,red heart,紅心,:红心:
🏮,:red_paper_lantern:,red paper lantern,紅紙燈籠,:红灯笼:
❓,:red_question_mark:,red question mark,紅色問號,:红色问号:
🔻,:red_triangle_pointed_down:,red triangle pointed down,紅色三角形朝下,:红色倒三角:
🔺,:red_triangle_pointed_up:,red triangle pointed up,紅色三角形朝上,:红色正三角:
®️,:registered:,registered,掛號的,:注册:
®,:registered:,registered,掛號的,:注册:
😌,:relieved_face:,relieved face,鬆了一口氣的臉,:松了口气:
🎗,:reminder_ribbon:,reminder ribbon,提醒絲帶,:提示丝带:
⛑️,:rescue_worker’s_helmet:,rescue worker’s helmet,救援人員頭盔,:白十字头盔:
💞,:revolving_hearts:,revolving hearts,旋轉的心,:舞动的心:
🎀,:ribbon:,ribbon,絲帶,:蝴蝶结:
🍙,:rice_ball:,rice ball,飯糰,:饭团:
🍘,:rice_cracker:,rice cracker,米餅,:米饼:
🤜🏻,:right-facing_fist_light_skin_tone:,right-facing fist light skin tone,朝右的拳頭淺膚色,:朝右的拳头_较浅肤色:
🤜🏼,:right-facing_fist_medium-light_skin_tone:,right-facing fist medium-light skin tone,右手握拳中淺膚色,:朝右的拳头_中等浅肤色:
➡️,:right_arrow:,right arrow,右箭頭,:向右箭头:
⤴️,:right_arrow_curving_up:,right arrow curving up,向上彎曲的右箭頭,:右上弯箭头:
💍,:ring:,ring,戒指,:戒指:
🪐,:ringed_planet:,ringed planet,環形行星,:有环行星:
🍠,:roasted_sweet_potato:,roasted sweet potato,烤地瓜,:烤红薯:
🤖,:robot:,robot,機器人,:机器人:
🪨,:rock:,rock,岩石,:岩石:
🚀,:rocket:,rocket,火箭,:火箭:
🧻,:roll_of_paper:,roll of paper,一捲紙,:卷纸:
🎢,:roller_coaster:,roller coaster,過山車,:过山车:
🛼,:roller_skate:,roller skate,旱冰鞋,:四轮滑冰鞋:
🤣,:rolling_on_the_floor_laughing:,rolling on the floor laughing,笑得在地上打滾,:笑得满地打滚:
🐓,:rooster:,rooster,公雞,:公鸡:
🌹,:rose:,rose,玫瑰,:玫瑰:
🏵,:rosette:,rosette,花環,:圆形花饰:
📍,:round_pushpin:,round pushpin,圓形圖釘,:圆图钉:
🎽,:running_shirt:,running shirt,跑步衫,:运动背心:
👟,:running_shoe:,running shoe,跑鞋,:跑鞋:
😥,:sad_but_relieved_face:,sad but relieved face,悲傷但如釋重負的臉,:失望但如释重负:
⛵,:sailboat:,sailboat,帆船,:帆船:
🍶,:sake:,sake,清酒,:清酒:
🧂,:salt:,salt,鹽,:盐:
🫡,:saluting_face:,saluting face,敬禮的臉,:致敬:
🥪,:sandwich:,sandwich,三明治,:三明治:
🦕,:sauropod:,sauropod,蜥腳類動物,:蜥蜴类:
🏫,:school:,school,學校,:学校:
✂️,:scissors:,scissors,剪刀,:剪刀:
🦂,:scorpion:,scorpion,蠍,:蝎子:
🦭,:seal:,seal,海豹,:海豹:
🙈,:see-no-evil_monkey:,see-no-evil monkey,無惡不作的猴子,:非礼勿视:
🌱,:seedling:,seedling,幼苗,:幼苗:
🤳,:selfie:,selfie,自拍,:自拍:
🤳🏿,:selfie_dark_skin_tone:,selfie dark skin tone,自拍深色膚色,:自拍_较深肤色:
🪡,:sewing_needle:,sewing needle,縫紉針,:缝合针:
☘,:shamrock:,shamrock,三葉草,:三叶草:
🦈,:shark:,shark,鯊魚,:鲨鱼:
🌾,:sheaf_of_rice:,sheaf of rice,一捆米,:稻子:
⛩,:shinto_shrine:,shinto shrine,神社,:神社:
🚢,:ship:,ship,船,:船:
🛍,:shopping_bags:,shopping bags,購物袋,:购物袋:
🛒,:shopping_cart:,shopping cart,購物車,:购物车:
🍰,:shortcake:,shortcake,脆餅,:水果蛋糕:
🩳,:shorts:,shorts,短褲,:短裤:
🚿,:shower:,shower,淋浴,:淋浴:
🦐,:shrimp:,shrimp,蝦,:虾:
🤫,:shushing_face:,shushing face,噓臉,:安静的脸:
🤘,:sign_of_the_horns:,sign of the horns,角的標誌,:摇滚:
🤘🏻,:sign_of_the_horns_light_skin_tone:,sign of the horns light skin tone,牛角標誌淺膚色,:摇滚_较浅肤色:
🛹,:skateboard:,skateboard,滑板,:滑板:
💀,:skull:,skull,顱骨,:头骨:
☠️,:skull_and_crossbones:,skull and crossbones,骷髏和交叉骨,:骷髅:
🦨,:skunk:,skunk,臭鼬,:臭鼬:
😴,:sleeping_face:,sleeping face,睡臉,:睡着了:
😪,:sleepy_face:,sleepy face,困倦的臉,:困:
🙁,:slightly_frowning_face:,slightly frowning face,微微皺眉的臉,:微微不满:
🙂,:slightly_smiling_face:,slightly smiling face,微微笑的臉,:呵呵:
🦥,:sloth:,sloth,樹懶,:树懒:
🔹,:small_blue_diamond:,small blue diamond,小藍鑽,:蓝色小菱形:
🔸,:small_orange_diamond:,small orange diamond,小橙色鑽石,:橙色小菱形:
😻,:smiling_cat_with_heart-eyes:,smiling cat with heart-eyes,帶著心形眼睛的微笑貓,:花痴的猫:
☺️,:smiling_face:,smiling face,微笑的面孔,:微笑:
☺,:smiling_face:,smiling face,微笑的面孔,:微笑:
😇,:smiling_face_with_halo:,smiling face with halo,帶光環的笑臉,:微笑天使:
😍,:smiling_face_with_heart-eyes:,smiling face with heart-eyes,心眼笑臉,:花痴:
🥰,:smiling_face_with_hearts:,smiling face with hearts,笑臉與心,:喜笑颜开:
😈,:smiling_face_with_horns:,smiling face with horns,帶角的笑臉,:恶魔微笑:
🤗,:smiling_face_with_open_hands:,smiling face with open hands,張開雙手的笑臉,:抱抱:
😊,:smiling_face_with_smiling_eyes:,smiling face with smiling eyes,微笑的臉和微笑的眼睛,:羞涩微笑:
😎,:smiling_face_with_sunglasses:,smiling face with sunglasses,帶著墨鏡的笑臉,:墨镜笑脸:
🥲,:smiling_face_with_tear:,smiling face with tear,含淚的笑臉,:含泪的笑脸:
😏,:smirking_face:,smirking face,傻笑的臉,:得意:
🐌,:snail:,snail,蝸牛,:蜗牛:
🐍,:snake:,snake,蛇,:蛇:
🤧,:sneezing_face:,sneezing face,打噴嚏的臉,:打喷嚏:
🏔,:snow-capped_mountain:,snow-capped mountain,雪山,:雪山:
🏂,:snowboarder:,snowboarder,單板滑雪者,:滑雪板:
❄️,:snowflake:,snowflake,雪花,:雪花:
❄,:snowflake:,snowflake,雪花,:雪花:
☃️,:snowman:,snowman,雪人,:雪与雪人:
☃,:snowman:,snowman,雪人,:雪与雪人:
⛄,:snowman_without_snow:,snowman without snow,沒有雪的雪人,:雪人:
🧼,:soap:,soap,肥皂,:皂:
⚽,:soccer_ball:,soccer ball,足球,:足球:
🧦,:socks:,socks,襪子,:袜子:
🍦,:soft_ice_cream:,soft ice cream,軟冰淇淋,:圆筒冰激凌:
♠,:spade_suit:,spade suit,黑桃花色,:黑桃:
🎇,:sparkler:,sparkler,煙火,:烟花:
✨,:sparkles:,sparkles,閃閃發光,:闪亮:
💖,:sparkling_heart:,sparkling heart,閃閃發光的心,:闪亮的心:
🙊,:speak-no-evil_monkey:,speak-no-evil monkey,不說壞話的猴子,:非礼勿言:
🔊,:speaker_high_volume:,speaker high volume,揚聲器高音量,:高音量的扬声器:
🗣️,:speaking_head:,speaking head,說話的頭,:说话:
🗣,:speaking_head:,speaking head,說話的頭,:说话:
💬,:speech_balloon:,speech balloon,語音氣球,:话语气泡:
🕷,:spider:,spider,蜘蛛,:蜘蛛:
🗓,:spiral_calendar:,spiral calendar,螺旋日曆,:线圈日历:
🗒️,:spiral_notepad:,spiral notepad,螺旋記事本,:线圈本:
🐚,:spiral_shell:,spiral shell,螺,:海螺:
🥄,:spoon:,spoon,勺子,:匙:
🏅,:sports_medal:,sports medal,運動獎牌,:奖牌:
🐳,:spouting_whale:,spouting whale,噴水的鯨魚,:喷水的鲸:
🦑,:squid:,squid,烏賊,:乌贼:
😝,:squinting_face_with_tongue:,squinting face with tongue,用舌頭瞇著臉,:眯眼吐舌:
⭐,:star:,star,星星,:星星:
🤩,:star-struck:,star-struck,追星,:好崇拜哦:
☪,:star_and_crescent:,star and crescent,星星和新月,:星月:
🍜,:steaming_bowl:,steaming bowl,蒸碗,:面条:
🩺,:stethoscope:,stethoscope,聽診器,:听诊器:
🛑,:stop_sign:,stop sign,停止標誌,:停止标志:
⏱,:stopwatch:,stopwatch,跑表,:秒表:
📏,:straight_ruler:,straight ruler,直尺,:直尺:
🍓,:strawberry:,strawberry,草莓,:草莓:
🎙️,:studio_microphone:,studio microphone,工作室話筒,:录音室麦克风:
🥙,:stuffed_flatbread:,stuffed flatbread,釀大餅,:夹心饼:
☀️,:sun:,sun,太陽,:太阳:
☀,:sun:,sun,太陽,:太阳:
⛅,:sun_behind_cloud:,sun behind cloud,雲後的太陽,:阴:
🌥️,:sun_behind_large_cloud:,sun behind large cloud,在大雲彩後的太陽,:多云:
🌥,:sun_behind_large_cloud:,sun behind large cloud,在大雲彩後的太陽,:多云:
🌦️,:sun_behind_rain_cloud:,sun behind rain cloud,雨雲後面的太陽,:晴转雨:
🌤,:sun_behind_small_cloud:,sun behind small cloud,小雲後面的太陽,:晴偶有云:
🌞,:sun_with_face:,sun with face,太陽與臉,:微笑的太阳:
🌻,:sunflower:,sunflower,向日葵,:向日葵:
🕶️,:sunglasses:,sunglasses,太陽鏡,:墨镜:
🕶,:sunglasses:,sunglasses,太陽鏡,:墨镜:
🌅,:sunrise:,sunrise,日出,:日出:
🌄,:sunrise_over_mountains:,sunrise over mountains,山上的日出,:山顶日出:
🌇,:sunset:,sunset,日落,:日落:
🍣,:sushi:,sushi,壽司,:寿司:
🦢,:swan:,swan,天鵝,:天鹅:
💦,:sweat_droplets:,sweat droplets,汗滴,:汗滴:
💉,:syringe:,syringe,注射器,:注射器:
👕,:t-shirt:,t-shirt,T卹,:T恤:
🌮,:taco:,taco,炸玉米餅,:墨西哥卷饼:
🎋,:tanabata_tree:,tanabata tree,七夕樹,:七夕树:
🍊,:tangerine:,tangerine,柑橘,:橘子:
🍵,:teacup_without_handle:,teacup without handle,沒有把手的茶杯,:热茶:
🫖,:teapot:,teapot,茶壺,:茶壶:
📆,:tear-off_calendar:,tear-off calendar,撕下日曆,:手撕日历:
🧑‍💻,:technologist:,technologist,技師,:程序员:
🧸,:teddy_bear:,teddy bear,玩具熊,:泰迪熊:
☎️,:telephone:,telephone,電話,:电话:
📞,:telephone_receiver:,telephone receiver,聽筒,:电话听筒:
🔭,:telescope:,telescope,望遠鏡,:望远镜:
📺,:television:,television,電視,:电视机:
🎾,:tennis:,tennis,網球,:网球:
⛺,:tent:,tent,帳篷,:帐篷:
🤔,:thinking_face:,thinking face,思考的臉,:想一想:
🩴,:thong_sandal:,thong sandal,夾趾涼鞋,:夹趾凉鞋:
💭,:thought_balloon:,thought balloon,思想氣球,:内心活动气泡:
🕒,:three_o’clock:,three o’clock,三點整,:三点:
👎,:thumbs_down:,thumbs down,不看好,:拇指向下:
👍,:thumbs_up:,thumbs up,豎起大拇指,:拇指向上:
👍🏿,:thumbs_up_dark_skin_tone:,thumbs up dark skin tone,豎起大拇指 深色膚色,:拇指向上_较深肤色:
👍🏻,:thumbs_up_light_skin_tone:,thumbs up light skin tone,豎起大拇指 淺膚色,:拇指向上_较浅肤色:
👍🏾,:thumbs_up_medium-dark_skin_tone:,thumbs up medium-dark skin tone,豎起大拇指 中深膚色,:拇指向上_中等深肤色:
👍🏼,:thumbs_up_medium-light_skin_tone:,thumbs up medium-light skin tone,豎起大拇指 中淺膚色,:拇指向上_中等浅肤色:
🎫,:ticket:,ticket,票,:票:
🐅,:tiger:,tiger,老虎,:老虎:
🐯,:tiger_face:,tiger face,虎臉,:老虎头:
⏲️,:timer_clock:,timer clock,定時器時鐘,:定时器:
😫,:tired_face:,tired face,疲倦的臉,:累:
🚽,:toilet:,toilet,洗手間,:马桶:
🍅,:tomato:,tomato,番茄,:西红柿:
👅,:tongue:,tongue,舌頭,:舌头:
🦷,:tooth:,tooth,齒,:牙齿:
🪥,:toothbrush:,toothbrush,牙刷,:牙刷:
🎩,:top_hat:,top hat,禮帽,:礼帽:
🌪,:tornado:,tornado,龍捲風,:龙卷风:
™,:trade_mark:,trade mark,商標,:商标:
🚩,:triangular_flag:,triangular flag,三角旗,:三角旗:
🏆,:trophy:,trophy,杯,:奖杯:
🍹,:tropical_drink:,tropical drink,熱帶飲料,:热带水果饮料:
🐠,:tropical_fish:,tropical fish,熱帶魚,:热带鱼:
🌷,:tulip:,tulip,鬱金香,:郁金香:
🥃,:tumbler_glass:,tumbler glass,不倒翁玻璃,:平底杯:
🐢,:turtle:,turtle,龜,:龟:
🕛,:twelve_o’clock:,twelve o’clock,十二點,:十二点:
💕,:two_hearts:,two hearts,兩顆心,:两颗心:
☂️,:umbrella:,umbrella,傘,:伞:
⛱,:umbrella_on_ground:,umbrella on ground,雨傘在地上,:阳伞:
☔,:umbrella_with_rain_drops:,umbrella with rain drops,帶雨滴的雨傘,:雨伞:
😒,:unamused_face:,unamused face,不開心的臉,:不高兴:
🦄,:unicorn:,unicorn,獨角獸,:独角兽:
🔓,:unlocked:,unlocked,解鎖,:打开的锁:
↖,:up-left_arrow:,up-left arrow,左上箭頭,:左上箭头:
↗️,:up-right_arrow:,up-right arrow,右上箭頭,:右上箭头:
↗,:up-right_arrow:,up-right arrow,右上箭頭,:右上箭头:
⬆️,:up_arrow:,up arrow,向上箭頭,:向上箭头:
⬆,:up_arrow:,up arrow,向上箭頭,:向上箭头:
🙃,:upside-down_face:,upside-down face,顛倒的臉,:倒脸:
🔼,:upwards_button:,upwards button,向上按鈕,:向上三角形按钮:
🚦,:vertical_traffic_light:,vertical traffic light,垂直交通燈,:纵向的红绿灯:
✌️,:victory_hand:,victory hand,勝利之手,:胜利手势:
✌,:victory_hand:,victory hand,勝利之手,:胜利手势:
✌🏻,:victory_hand_light_skin_tone:,victory hand light skin tone,勝利手淺膚色,:胜利手势_较浅肤色:
✌🏾,:victory_hand_medium-dark_skin_tone:,victory hand medium-dark skin tone,勝利之手中深膚色,:胜利手势_中等深肤色:
✌🏼,:victory_hand_medium-light_skin_tone:,victory hand medium-light skin tone,勝利之手中淺膚色,:胜利手势_中等浅肤色:
✌🏽,:victory_hand_medium_skin_tone:,victory hand medium skin tone,勝利之手中等膚色,:胜利手势_中等肤色:
📹,:video_camera:,video camera,攝像機,:摄像机:
🎮,:video_game:,video game,電子遊戲,:游戏手柄:
🎻,:violin:,violin,小提琴,:小提琴:
🌋,:volcano:,volcano,火山,:火山:
🏐,:volleyball:,volleyball,排球,:排球:
🖖🏽,:vulcan_salute_medium_skin_tone:,vulcan salute medium skin tone,vulcan salute 中等膚色,:瓦肯举手礼_中等肤色:
🧇,:waffle:,waffle,胡扯,:华夫饼:
🌘,:waning_crescent_moon:,waning crescent moon,殘月,:残月:
🌖,:waning_gibbous_moon:,waning gibbous moon,殘月,:亏凸月:
⚠️,:warning:,warning,警告,:警告:
⚠,:warning:,warning,警告,:警告:
🗑,:wastebasket:,wastebasket,廢紙簍,:垃圾桶:
⌚,:watch:,watch,手錶,:手表:
🚾,:water_closet:,water closet,洗手間,:厕所:
🔫,:water_pistol:,water pistol,水槍,:水枪:
🌊,:water_wave:,water wave,水波,:浪花:
👋,:waving_hand:,waving hand,揮手,:挥手:
👋🏻,:waving_hand_light_skin_tone:,waving hand light skin tone,揮手 較淺膚色,:挥手_较浅肤色:
👋🏾,:waving_hand_medium-dark_skin_tone:,waving hand medium-dark skin tone,揮手 中深膚色,:挥手_中等深肤色:
👋🏼,:waving_hand_medium-light_skin_tone:,waving hand medium-light skin tone,揮手 中淺膚色,:挥手_中等浅肤色:
〰️,:wavy_dash:,wavy dash,波浪破折號,:波浪型破折号:
〰,:wavy_dash:,wavy dash,波浪破折號,:波浪型破折号:
🙀,:weary_cat:,weary cat,疲倦的貓,:疲倦的猫:
😩,:weary_face:,weary face,疲憊的臉,:累死了:
💒,:wedding:,wedding,婚禮,:婚礼:
🐋,:whale:,whale,鯨,:鲸鱼:
⚪,:white_circle:,white circle,白色圓圈,:白色圆:
❕,:white_exclamation_mark:,white exclamation mark,白色感嘆號,:白色感叹号:
💮,:white_flower:,white flower,白色的花,:白花:
🤍,:white_heart:,white heart,白心,:白心:
◽,:white_medium-small_square:,white medium-small square,白色中小方,:白色中小方块:
◻️,:white_medium_square:,white medium square,白色中方形,:白色中方块:
▫️,:white_small_square:,white small square,白色小方塊,:白色小方块:
▫,:white_small_square:,white small square,白色小方塊,:白色小方块:
🥀,:wilted_flower:,wilted flower,枯萎的花,:枯萎的花:
🎐,:wind_chime:,wind chime,風鈴,:风铃:
🌬️,:wind_face:,wind face,風臉,:大风:
🌬,:wind_face:,wind face,風臉,:大风:
🪟,:window:,window,窗戶,:窗户:
🍷,:wine_glass:,wine glass,紅酒杯,:葡萄酒:
😉,:winking_face:,winking face,眨眼的臉,:眨眼:
😜,:winking_face_with_tongue:,winking face with tongue,用舌頭眨眼,:单眼吐舌:
🐺,:wolf:,wolf,狼,:狼:
👩,:woman:,woman,女士,:女人:
👫,:woman_and_man_holding_hands:,woman and man holding hands,手牽著手的女人和男人,:手拉手的一男一女:
👫🏻,:woman_and_man_holding_hands_light_skin_tone:,woman and man holding hands light skin tone,手拉手的女人和男人淺膚色,:手拉手的一男一女_较浅肤色:
👩🏻‍🤝‍👨🏾,:woman_and_man_holding_hands_light_skin_tone_medium-dark_skin_tone:,woman and man holding hands light skin tone medium-dark skin tone,手拉手的女人和男人淺膚色中等深膚色,:手拉手的一男一女_较浅肤色中等深肤色:
👩🏻‍🎨,:woman_artist_light_skin_tone:,woman artist light skin tone,女藝術家淺膚色,:女艺术家_较浅肤色:
🚴‍♀️,:woman_biking:,woman biking,女人騎自行車,:女生骑自行车:
🚴🏻‍♀️,:woman_biking_light_skin_tone:,woman biking light skin tone,騎自行車的女人淺膚色,:女生骑自行车_较浅肤色:
🙇‍♀️,:woman_bowing:,woman bowing,女人鞠躬,:女生鞠躬:
🙇‍♀,:woman_bowing:,woman bowing,女人鞠躬,:女生鞠躬:
🙇🏻‍♀️,:woman_bowing_light_skin_tone:,woman bowing light skin tone,鞠躬的女人淺膚色,:女生鞠躬_较浅肤色:
🙇🏽‍♀️,:woman_bowing_medium_skin_tone:,woman bowing medium skin tone,鞠躬的女人中等膚色,:女生鞠躬_中等肤色:
🤸🏻‍♀️,:woman_cartwheeling_light_skin_tone:,woman cartwheeling light skin tone,女人側手翻較淺膚色,:女生侧手翻_较浅肤色:
🧗🏻‍♀️,:woman_climbing_light_skin_tone:,woman climbing light skin tone,攀爬的女人淺膚色,:攀爬的女人_较浅肤色:
👩‍🍳,:woman_cook:,woman cook,女廚師,:女厨师:
👩🏻‍🍳,:woman_cook_light_skin_tone:,woman cook light skin tone,女廚師淺膚色,:女厨师_较浅肤色:
💃,:woman_dancing:,woman dancing,女人跳舞,:跳舞的女人:
💃🏻,:woman_dancing_light_skin_tone:,woman dancing light skin tone,跳舞的女人淺膚色,:跳舞的女人_较浅肤色:
💃🏼,:woman_dancing_medium-light_skin_tone:,woman dancing medium-light skin tone,跳舞的女人中淺膚色,:跳舞的女人_中等浅肤色:
💃🏽,:woman_dancing_medium_skin_tone:,woman dancing medium skin tone,跳舞的女人中等膚色,:跳舞的女人_中等肤色:
👩🏿,:woman_dark_skin_tone:,woman dark skin tone,女人深色膚色,:女人_较深肤色:
👩🏿‍🦱,:woman_dark_skin_tone_curly_hair:,woman dark skin tone curly hair,女人深色膚色捲髮,:女人_较深肤色卷发:
👩🏿‍🦰,:woman_dark_skin_tone_red_hair:,woman dark skin tone red hair,女人深色膚色紅頭髮,:女人_较深肤色红发:
🧝🏻‍♀️,:woman_elf_light_skin_tone:,woman elf light skin tone,女精靈淺膚色,:女小精灵_较浅肤色:
🤦‍♀️,:woman_facepalming:,woman facepalming,女人捂臉,:女生捂脸:
🤦🏻‍♀️,:woman_facepalming_light_skin_tone:,woman facepalming light skin tone,女人捂臉淺膚色,:女生捂脸_较浅肤色:
🤦🏻‍♀,:woman_facepalming_light_skin_tone:,woman facepalming light skin tone,女人捂臉淺膚色,:女生捂脸_较浅肤色:
🤦🏼‍♀️,:woman_facepalming_medium-light_skin_tone:,woman facepalming medium-light skin tone,女人捂臉 中淺膚色,:女生捂脸_中等浅肤色:
🧚‍♀️,:woman_fairy:,woman fairy,女仙女,:仙女:
🧚‍♀,:woman_fairy:,woman fairy,女仙女,:仙女:
🧚🏻‍♀️,:woman_fairy_light_skin_tone:,woman fairy light skin tone,女仙女淺膚色,:仙女_较浅肤色:
🧚🏾‍♀️,:woman_fairy_medium-dark_skin_tone:,woman fairy medium-dark skin tone,女仙子中深膚色,:仙女_中等深肤色:
🙍‍♀️,:woman_frowning:,woman frowning,女人皺著眉頭,:皱眉女:
🙍🏻‍♀️,:woman_frowning_light_skin_tone:,woman frowning light skin tone,皺眉的女人淺膚色,:皱眉女_较浅肤色:
🙅‍♀️,:woman_gesturing_NO:,woman gesturing NO,女人打手勢不,:禁止手势女:
🙅🏻‍♀️,:woman_gesturing_NO_light_skin_tone:,woman gesturing NO light skin tone,女人打手勢 沒有淺膚色,:禁止手势女_较浅肤色:
🙆‍♀️,:woman_gesturing_OK:,woman gesturing OK,女人打手勢好,:OK手势女:
🙆🏻‍♀️,:woman_gesturing_OK_light_skin_tone:,woman gesturing OK light skin tone,女人打手勢 OK 淺膚色,:OK手势女_较浅肤色:
🙆🏼‍♀️,:woman_gesturing_OK_medium-light_skin_tone:,woman gesturing OK medium-light skin tone,女人做 OK 中等-淺膚色手勢,:OK手势女_中等浅肤色:
💇‍♀️,:woman_getting_haircut:,woman getting haircut,理髮的女人,:女生理发:
💇🏻‍♀️,:woman_getting_haircut_light_skin_tone:,woman getting haircut light skin tone,正在理髮的女人淺膚色,:女生理发_较浅肤色:
💇🏼‍♀️,:woman_getting_haircut_medium-light_skin_tone:,woman getting haircut medium-light skin tone,正在理髮的女人中淺膚色,:女生理发_中等浅肤色:
💆‍♀️,:woman_getting_massage:,woman getting massage,女人得到按摩,:女生按摩:
💆🏻‍♀️,:woman_getting_massage_light_skin_tone:,woman getting massage light skin tone,接受按摩的女人淺膚色,:女生按摩_较浅肤色:
💆🏼‍♀️,:woman_getting_massage_medium-light_skin_tone:,woman getting massage medium-light skin tone,女人正在接受按摩中淺膚色,:女生按摩_中等浅肤色:
